time,ax,ay,az,aT
1.452000,-0.7229,-0.0148,-0.4667,0.861
1.457000,-0.6829,0.0173,-0.3667,0.775
1.462000,-0.5503,0.0041,-0.1944,0.584
1.468000,-0.4649,-0.0138,-0.1086,0.478
1.472000,-0.4571,-0.0544,-0.1888,0.498
1.477000,-0.3826,-0.1416,-0.0657,0.413
1.492000,-0.2210,-0.2504,0.1625,0.371
1.493000,-0.1279,-0.3271,0.2565,0.435
1.494000,-0.2024,-0.4016,0.2383,0.509
1.497000,-0.3981,-0.3227,0.3149,0.601
1.518000,-0.4491,-0.3129,0.3563,0.653
1.519000,-0.4326,-0.3410,0.3578,0.657
1.519000,-0.3919,-0.4032,0.3718,0.674
1.519000,-0.3200,-0.4384,0.4700,0.718
1.523000,-0.3066,-0.3487,0.5258,0.701
1.528000,-0.3746,-0.1821,0.5271,0.672
1.534000,-0.4476,-0.0475,0.4566,0.641
1.538000,-0.4229,0.0075,0.3834,0.571
1.543000,-0.4202,0.0594,0.3982,0.582
1.550000,-0.4659,0.1333,0.3637,0.606
1.553000,-0.5803,0.1155,0.2181,0.631
1.558000,-0.6679,0.0780,0.0866,0.678
1.563000,-0.7218,0.0342,0.1770,0.744
1.569000,-0.7198,-0.0340,0.2995,0.780
1.574000,-0.6871,-0.0907,0.2773,0.746
1.579000,-0.6591,-0.1064,0.2236,0.704
1.585000,-0.6935,-0.0606,0.1941,0.723
1.589000,-0.7754,0.0249,0.1581,0.792
1.594000,-0.7070,0.0590,-0.0128,0.710
1.600000,-0.5760,0.0501,-0.0292,0.579
1.604000,-0.6021,0.0088,0.0200,0.603
1.609000,-0.6753,-0.0682,-0.0867,0.684
1.615000,-0.7314,-0.1197,-0.0757,0.745
1.629000,-0.7226,-0.1016,0.0748,0.734
1.630000,-0.7551,-0.0581,0.1997,0.783
1.630000,-0.8034,-0.1037,0.2671,0.853
1.634000,-0.8728,-0.1176,0.2879,0.926
1.639000,-0.9025,-0.1390,0.2287,0.941
1.644000,-0.8723,-0.1479,0.2105,0.909
1.659000,-0.9281,-0.2015,0.0873,0.954
1.661000,-0.9157,-0.2387,0.0740,0.949
1.662000,-0.8411,-0.2764,0.1695,0.901
1.665000,-0.7469,-0.2945,0.2223,0.833
1.672000,-0.5973,-0.3026,0.2768,0.725
1.675000,-0.5039,-0.3796,0.3607,0.727
1.680000,-0.3741,-0.4850,0.4253,0.746
1.685000,-0.3179,-0.5410,0.5566,0.839
1.690000,-0.2772,-0.5644,0.6292,0.890
1.695000,-0.2140,-0.5456,0.6981,0.911
1.712000,-0.2188,-0.5540,0.7286,0.941
1.713000,-0.2541,-0.5728,0.6547,0.906
1.713000,-0.2600,-0.6081,0.5661,0.871
1.715000,-0.3366,-0.6407,0.5448,0.906
1.742000,-0.4010,-0.6597,0.5259,0.934
1.743000,-0.3704,-0.7180,0.5606,0.983
1.743000,-0.2905,-0.7233,0.7737,1.098
1.744000,-0.2727,-0.7262,0.8259,1.133
1.745000,-0.3538,-0.7900,0.6611,1.089
1.745000,-0.4418,-0.8392,0.5278,1.085
1.754000,-0.4503,-0.8271,0.5646,1.098
1.755000,-0.3331,-0.8603,0.6172,1.110
1.761000,-0.3092,-0.8300,0.6935,1.125
1.768000,-0.3540,-0.7040,0.7184,1.066
1.771000,-0.4188,-0.5745,0.6109,0.937
1.775000,-0.4175,-0.5082,0.3780,0.759
1.781000,-0.3614,-0.4443,0.3603,0.677
1.787000,-0.3113,-0.3626,0.4062,0.627
1.791000,-0.3565,-0.2679,0.3841,0.589
1.797000,-0.4072,-0.1819,0.3357,0.558
1.801000,-0.3973,-0.1344,0.2708,0.499
1.806000,-0.2849,-0.1385,0.3195,0.450
1.811000,-0.2087,-0.1238,0.4521,0.513
1.817000,-0.1905,-0.1152,0.5157,0.562
1.822000,-0.1754,-0.1524,0.4457,0.503
1.827000,-0.1612,-0.1740,0.3627,0.433
1.846000,-0.1551,-0.1430,0.3586,0.416
1.848000,-0.1390,-0.0725,0.4666,0.492
1.849000,-0.0760,-0.0106,0.5233,0.529
1.849000,-0.0437,0.0308,0.5670,0.570
1.880000,-0.0049,0.0672,0.6215,0.625
1.882000,0.0490,0.0652,0.6835,0.688
1.883000,0.1234,0.0855,0.7204,0.736
1.884000,0.1445,0.0936,0.6341,0.657
1.885000,0.0984,0.1707,0.6339,0.664
1.886000,0.1490,0.2007,0.7579,0.798
1.886000,0.2792,0.2233,0.8697,0.940
1.888000,0.3012,0.3016,0.9506,1.042
1.893000,0.2142,0.3006,0.7135,0.803
1.898000,0.1391,0.3258,0.3637,0.508
1.902000,0.1755,0.4120,0.4483,0.634
1.908000,0.3920,0.3988,0.7316,0.921
1.914000,0.6255,0.2934,0.7467,1.017
1.918000,0.6293,0.2360,0.4569,0.813
1.923000,0.5259,0.1966,0.2674,0.622
1.928000,0.5132,0.2771,0.2399,0.631
1.934000,0.6432,0.4008,0.5133,0.915
1.938000,0.8028,0.5555,0.8300,1.281
1.943000,0.8681,0.6311,0.9529,1.435
1.948000,0.7969,0.7795,0.8595,1.408
1.962000,0.7047,0.9051,0.7937,1.395
1.964000,0.6805,0.9935,0.8998,1.503
1.964000,0.6624,1.0772,1.0006,1.613
1.968000,0.5423,1.1263,0.9008,1.541
1.973000,0.4297,1.1877,0.9481,1.579
1.978000,0.3865,1.2194,1.0223,1.638
1.995000,0.3382,1.2541,1.1228,1.717
1.996000,0.3105,1.1995,1.1659,1.701
1.997000,0.3015,1.0535,0.9875,1.475
1.998000,0.3087,0.8830,0.8387,1.256
2.008000,0.3189,0.7407,0.6208,1.018
2.009000,0.3569,0.5728,0.5561,0.874
2.014000,0.4430,0.4079,0.5705,0.830
2.020000,0.5121,0.2997,0.5281,0.794
2.024000,0.5154,0.2432,0.4842,0.748
2.029000,0.3700,0.2242,0.3746,0.572
2.034000,0.1634,0.2690,0.3367,0.461
2.039000,-0.0172,0.2425,0.3598,0.434
2.044000,-0.1359,0.2896,0.3162,0.450
2.049000,-0.2550,0.2714,0.3030,0.480
2.066000,-0.4225,0.2289,0.2472,0.540
2.069000,-0.4951,0.1990,0.2483,0.589
2.070000,-0.5321,0.1996,0.2467,0.620
2.073000,-0.5749,0.2234,0.2402,0.662
2.074000,-0.5866,0.1675,0.1574,0.630
2.079000,-0.4712,-0.0291,0.1864,0.508
2.102000,-0.3101,-0.2049,0.1467,0.400
2.103000,-0.2051,-0.3971,0.1931,0.487
2.104000,-0.0895,-0.5113,0.2336,0.569
2.104000,0.0914,-0.5811,0.3316,0.675
2.105000,0.3287,-0.6270,0.3463,0.788
2.110000,0.4496,-0.5976,0.2432,0.786
2.115000,0.4205,-0.4811,0.0787,0.644
2.122000,0.2638,-0.3470,-0.2035,0.481
2.125000,0.1747,-0.2682,-0.4218,0.530
2.130000,0.2778,-0.2708,-0.4033,0.560
2.136000,0.3417,-0.2999,-0.3596,0.580
2.141000,0.3844,-0.3687,-0.3504,0.638
2.145000,0.4408,-0.4902,-0.3816,0.762
2.160000,0.5532,-0.5402,-0.2261,0.806
2.161000,0.7129,-0.6549,-0.0918,0.972
2.161000,0.8067,-0.7470,-0.0095,1.100
2.165000,0.8328,-0.7819,0.1033,1.147
2.185000,0.7753,-0.7977,0.1398,1.121
2.186000,0.7081,-0.7525,0.1755,1.048
2.186000,0.6314,-0.7265,0.2339,0.991
2.187000,0.5885,-0.6957,0.2728,0.951
2.190000,0.5640,-0.5906,0.4117,0.915
2.196000,0.5565,-0.4879,0.5067,0.897
2.201000,0.5333,-0.3706,0.4676,0.800
2.205000,0.5602,-0.2281,0.5419,0.812
2.211000,0.6108,-0.1799,0.6363,0.900
2.216000,0.5934,-0.2138,0.6408,0.899
2.220000,0.6657,-0.2952,0.7359,1.035
2.225000,0.7028,-0.2781,0.7719,1.080
2.229000,0.7156,-0.2117,0.7511,1.059
2.236000,0.6668,-0.1664,0.7271,1.000
2.240000,0.7235,-0.2082,0.6211,0.976
2.246000,0.7704,-0.2627,0.4986,0.955
2.263000,0.7769,-0.2954,0.4349,0.938
2.265000,0.7925,-0.3266,0.3908,0.942
2.265000,0.8470,-0.4019,0.2525,0.971
2.299000,0.8854,-0.4341,0.3363,1.042
2.300000,0.9982,-0.4413,0.4975,1.199
2.301000,1.0467,-0.4978,0.5903,1.301
2.302000,0.9508,-0.5270,0.4091,1.161
